Date,Eruption,Seismicity,Acidity,Temperature (in Celsius),SO2,Plume (in meters),Ground Deformation
"September 28, 2022",,2,,66.5,2506,2100,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"September 29, 2022",,0,,66.5,2506,600,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"September 30, 2022",,7,,66.5,10718,2500,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"October 1, 2022",,4,,66.5,7015,1200,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"October 2, 2022",,5,,66.5,7015,1500,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"October 3, 2022",,12,,66.5,7015,1200,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"October 4, 2022",,11,,66.5,4431,900,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"October 5, 2022",,0,,66.5,4431,900,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"October 6, 2022",,,,66.5,4431,900,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"October 7, 2022",,0,,66.5,4431,900,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"October 8, 2022",,0,,66.5,1757,900,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"October 9, 2022",,0,,66.5,1757,900,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"October 10, 2022",,0,,66.5,1757,600,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"October 11, 2022",,0,,66.5,2089,2400,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"October 12, 2022",,1,,66.5,2089,1500,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"October 13, 2022",,9,0.76,65.1,3882,1500,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"October 14, 2022",,26,0.76,65.1,3882,2400,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"October 15, 2022",,12,0.76,65.1,3882,900,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"October 16, 2022",,6,0.76,65.1,3882,800,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"October 17, 2022",,0,0.76,65.1,4422,900,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"October 18, 2022",,2,0.76,65.1,4422,2400,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"October 19, 2022",,0,0.76,65.1,4422,2400,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"October 20, 2022",,0,0.76,65.1,4422,2400,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"October 21, 2022",,2,0.76,65.1,6702,2400,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"October 22, 2022",,2,0.76,65.1,6702,3000,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"October 23, 2022",,6,0.76,65.1,6702,1500,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"October 24, 2022",,2,0.76,65.1,6702,1200,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"October 25, 2022",,2,0.76,65.1,1403,600,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"October 26, 2022",,6,0.76,65.1,1403,600,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"October 27, 2022",,0,0.76,65.1,1403,600,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"October 28, 2022",,0,0.76,65.1,544,,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"October 29, 2022",,4,0.76,65.1,544,600,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"October 30, 2022",,0,0.76,65.1,544,,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"October 31, 2022",,0,0.76,65.1,544,600,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"November 1, 2022",,64,0.76,65.1,544,,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"November 2, 2022",,0,0.76,65.1,544,900,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"November 3, 2022",,1,0.76,65.1,544,1800,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"November 4, 2022",,1,0.76,65.1,2010,900,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"November 5, 2022",,1,0.76,65.1,2010,600,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"November 6, 2022",,0,0.76,65.1,2010,500,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"November 7, 2022",,0,0.76,65.1,2010,800,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"November 8, 2022",,0,0.76,65.1,886,600,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"November 9, 2022",,2,0.76,65.1,886,300,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"November 10, 2022",,1,0.76,65.1,886,300,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"November 11, 2022",,,,,,,
"November 12, 2022",,2,0.76,65.1,1019,300,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"November 13, 2022",,1,0.76,65.1,1019,600,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"November 14, 2022",,0,0.76,65.1,1019,600,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"November 15, 2022",,0,0.76,65.1,1283,600,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"November 16, 2022",,0,0.76,65.1,1283,600,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"November 17, 2022",,0,0.76,65.1,1283,600,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"November 18, 2022",,0,0.76,65.1,1286,600,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"November 19, 2022",,3,0.76,65.1,1286,600,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"November 20, 2022",,0,0.76,65.1,1286,800,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"November 21, 2022",,1,0.76,65.1,1286,900,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"November 22, 2022",,1,0.76,65.1,2921,900,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"November 23, 2022",,0,0.76,65.1,2921,900,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"November 24, 2022",,0,0.76,65.1,2921,600,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"November 25, 2022",,0,0.76,65.1,1150,300,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"November 26, 2022",,1,0.76,65.1,1150,800,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"November 27, 2022",,1,0.76,65.1,1150,600,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"November 28, 2022",,2,0.76,65.1,1150,900,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"November 29, 2022",,1,0.76,65.1,2271,600,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"November 30, 2022",,0,0.76,65.1,2271,600,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"December 1, 2022",,0,0.76,65.1,2271,600,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"December 2, 2022",,2,0.76,65.1,1965,600,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"December 3, 2022",,9,0.76,65.1,1965,600,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"December 4, 2022",,1,0.76,65.1,1965,500,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"December 5, 2022",,5,0.76,65.1,1965,500,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"December 6, 2022",,10,0.76,65.1,1965,600,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"December 7, 2022",,0,0.76,65.1,2115,600,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"December 8, 2022",,0,0.76,65.1,2115,600,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"December 9, 2022",,0,0.76,65.1,2318,900,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"December 10, 2022",,0,0.76,65.1,2318,600,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"December 11, 2022",,0,0.76,65.1,2318,800,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"December 12, 2022",,40,0.76,65.1,2318,1500,"Slight, short-term inflation of the southeastern Taal Caldera, long-term deflation of the Taal Caldera"
"December 13, 2022",,4,0.76,65.1,2163,1500,"Slight, short-term inflation of the southeastern Taal Caldera, long-term deflation of the Taal Caldera"
"December 14, 2022",,0,0.76,65.1,2163,600,"Slight, short-term inflation of the southeastern Taal Caldera, long-term deflation of the Taal Caldera"
"December 15, 2022",,0,0.76,65.1,2163,600,"Slight, short-term inflation of the southeastern Taal Caldera, long-term deflation of the Taal Caldera"
"December 16, 2022",,0,0.76,65.1,3216,300,"Slight, short-term inflation of the southeastern Taal Caldera, long-term deflation of the Taal Caldera"
"December 17, 2022",,0,0.76,65.1,3216,600,"Slight, short-term inflation of the southeastern Taal Caldera, long-term deflation of the Taal Caldera"
"December 18, 2022",,7,0.76,65.1,3216,600,"Slight, short-term inflation of the southeastern Taal Caldera, long-term deflation of the Taal Caldera"
"December 19, 2022",,2,0.76,65.1,5854,600,"Slight, short-term inflation of the southeastern Taal Caldera, long-term deflation of the Taal Caldera"
"December 20, 2022",,8,0.76,65.1,5854,600,"Slight, short-term inflation of the southeastern Taal Caldera, long-term deflation of the Taal Caldera"
"December 21, 2022",,0,0.76,65.1,5854,600,"Slight, short-term inflation of the southeastern Taal Caldera, long-term deflation of the Taal Caldera"
"December 22, 2022",,0,0.76,65.1,5854,900,"Slight, short-term inflation of the southeastern Taal Caldera, long-term deflation of the Taal Caldera"
"December 23, 2022",,0,0.76,65.1,2098,900,"Slight, short-term inflation of the southeastern Taal Caldera, long-term deflation of the Taal Caldera"
"December 24, 2022",,0,0.76,65.1,2098,,"Slight, short-term inflation of the southeastern Taal Caldera, long-term deflation of the Taal Caldera"
"December 25, 2022",,0,0.76,65.1,2098,,"Slight, short-term inflation of the southeastern Taal Caldera, long-term deflation of the Taal Caldera"
"December 26, 2022",,0,0.76,65.1,2098,50,"Slight, short-term inflation of the southeastern Taal Caldera, long-term deflation of the Taal Caldera"
"December 27, 2022",,0,0.76,65.1,3891,50,"Slight, short-term inflation of the southeastern Taal Caldera, long-term deflation of the Taal Caldera"
"December 28, 2022",,0,0.76,65.1,3891,50,"Slight, short-term inflation of the southeastern Taal Caldera, long-term deflation of the Taal Caldera"
"December 29, 2022",,0,0.76,65.1,3891,900,"Slight, short-term inflation of the southeastern Taal Caldera, long-term deflation of the Taal Caldera"
"December 30, 2022",,0,0.76,65.1,3891,900,"Slight, short-term inflation of the southeastern Taal Caldera, long-term deflation of the Taal Caldera"
"December 31, 2022",,0,0.76,65.1,3891,900,"Slight, short-term inflation of the southeastern Taal Caldera, long-term deflation of the Taal Caldera"
"January 1, 2023",,1,0.76,65.1,3891,600,"Slight, short-term inflation of the southeastern Taal Caldera, long-term deflation of the Taal Caldera"
"January 2, 2023",,0,0.76,65.1,3891,600,"Slight, short-term inflation of the southeastern Taal Caldera, long-term deflation of the Taal Caldera"
"January 3, 2023",,0,0.76,65.1,3891,900,"Slight, short-term inflation of the southeastern Taal Caldera, long-term deflation of the Taal Caldera"
"January 4, 2023",,0,0.76,65.1,3891,750,"Slight, short-term inflation of the southeastern Taal Caldera, long-term deflation of the Taal Caldera"
"January 5, 2023",,2,0.76,65.1,4273,900,"Slight, short-term inflation of the southeastern Taal Caldera, long-term deflation of the Taal Caldera"
"January 6, 2023",,1,0.76,65.1,8575,900,Short-term inflation of the southeastern Taal Volcano Island; long-term deflation of the Taal Caldera
"January 7, 2023",,2,0.76,65.1,8575,1200,Short-term inflation of the southeastern Taal Volcano Island; long-term deflation of the Taal Caldera
"January 8, 2023",,136,0.76,65.1,8575,600,Short-term inflation of the southeastern Taal Volcano Island; long-term deflation of the Taal Caldera
"January 9, 2023",,107,0.76,65.1,8575,400,Maikling pamamaga ng timog-silangang bahagi ng Taal Volcano Island; pangmatagalang pag-impis ng kalakhang Taal Caldera
"January 10, 2023",,112,0.76,65.1,3718,600,Maikling pamamaga ng timog-silangang bahagi ng Taal Volcano Island; pangmatagalang pag-impis ng kalakhang Taal Caldera
"January 11, 2023",,162,0.76,65.1,3718,900,Short-term inflation of the southeastern Taal Volcano Island; long-term deflation of the Taal Caldera
"January 12, 2023",,154,0.76,65.1,3718,600,Short-term inflation of the southeastern Taal Volcano Island; long-term deflation of the Taal Caldera
"January 13, 2023",,156,0.76,65.1,6298,900,Short-term inflation of the southeastern Taal Volcano Island; long-term deflation of the Taal Caldera
"January 14, 2023",,157,0.76,65.1,6298,900,Short-term inflation of the southeastern Taal Volcano Island; long-term deflation of the Taal Caldera
"January 15, 2023",,154,0.76,65.1,6298,1400,Short-term inflation of the southeastern Taal Volcano Island; long-term deflation of the Taal Caldera
"January 16, 2023",,140,0.76,65.1,6298,1000,Short-term inflation of the southeastern Taal Volcano Island; long-term deflation of the Taal Caldera
"January 17, 2023",,118,0.76,65.1,6298,800,Short-term inflation of the southeastern Taal Volcano Island; long-term deflation of the Taal Caldera
"January 18, 2023",,16,0.76,65.1,6298,300,Short-term inflation of the southeastern Taal Volcano Island; long-term deflation of the Taal Caldera
"January 19, 2023",,15,0.76,65.1,6298,900,Long-term deflation of the Taal Caldera and Taal Volcano Island
"January 20, 2023",,49,0.76,65.1,6298,900,Long-term deflation of the Taal Caldera and Taal Volcano Island
"January 21, 2023",,68,0.76,65.1,6578,900,Long-term deflation of the Taal Caldera and Taal Volcano Island
"January 22, 2023",,16,0.76,65.1,6578,800,Long-term deflation of the Taal Caldera and Taal Volcano Island
"January 23, 2023",,38,0.76,65.1,6578,600,Long-term deflation of the Taal Caldera and Taal Volcano Island
"January 24, 2023",,0,0.76,65.1,4026,600,Long-term deflation of the Taal Caldera and Taal Volcano Island
"January 25, 2023",,14,0.76,65.1,4026,900,Long-term deflation of the Taal Caldera and Taal Volcano Island
"January 26, 2023",,2,0.76,65.1,4026,600,Long-term deflation of the Taal Caldera and Taal Volcano Island
"January 27, 2023",,9,0.76,65.1,4761,900,Long-term deflation of the Taal Caldera and Taal Volcano Island
"January 28, 2023",,26,0.76,65.1,4761,900,Long-term deflation of the Taal Caldera and Taal Volcano Island
"January 29, 2023",,25,0.76,65.1,4761,300,Long-term deflation of the Taal Caldera and Taal Volcano Island
"January 30, 2023",,28,0.76,65.1,4761,600,Long-term deflation of the Taal Caldera and Taal Volcano Island
"January 31, 2023",,6,0.76,65.1,4228,300,Long-term deflation of the Taal Caldera and Taal Volcano Island
"February 1, 2023",,3,0.76,65.1,4228,600,Long-term deflation of the Taal Caldera and Taal Volcano Island
"February 2, 2023",,7,0.76,65.1,4228,600,Long-term deflation of the Taal Caldera and Taal Volcano Island
"February 3, 2023",,1,0.76,65.1,4448,600,Long-term deflation of the Taal Caldera and Taal Volcano Island
"February 4, 2023",,1,0.76,65.1,4448,300,Long-term deflation of the Taal Caldera and Taal Volcano Island
"February 5, 2023",,3,0.76,65.1,4448,300,Long-term deflation of the Taal Caldera and Taal Volcano Island
"February 6, 2023",,1,0.76,65.1,4448,600,Long-term deflation of the Taal Caldera and Taal Volcano Island
"February 7, 2023",,0,0.76,65.1,3063,600,Long-term deflation of the Taal Caldera and Taal Volcano Island
"February 8, 2023",,0,0.76,65.1,3063,900,Long-term deflation of the Taal Caldera and Taal Volcano Island
"February 9, 2023",,4,0.76,65.1,3063,600,Long-term deflation of the Taal Caldera and Taal Volcano Island
"February 10, 2023",,0,0.76,65.1,3063,600,Long-term deflation of the Taal Caldera and Taal Volcano Island
"February 11, 2023",,0,0.76,65.1,4171,900,Long-term deflation of the Taal Caldera and Taal Volcano Island
"February 12, 2023",,0,0.76,65.1,4171,900,Long-term deflation of the Taal Caldera and Taal Volcano Island
"February 13, 2023",,0,0.76,65.1,4171,900,Long-term deflation of the Taal Caldera and Taal Volcano Island
"February 14, 2023",,0,0.76,65.1,6574,600,Long-term deflation of the Taal Caldera and Taal Volcano Island
"February 15, 2023",,0,0.76,65.1,6574,600,Long-term deflation of the Taal Caldera and Taal Volcano Island
"February 16, 2023",,0,0.76,65.1,6574,600,Long-term deflation of the Taal Caldera and Taal Volcano Island
"February 17, 2023",,19,0.76,65.1,4758,900,Long-term deflation of the Taal Caldera and Taal Volcano Island
"February 18, 2023",,2,0.76,65.1,4758,300,Long-term deflation of the Taal Caldera and Taal Volcano Island
"February 19, 2023",,1,0.76,65.1,4758,600,Long-term deflation of the Taal Caldera and Taal Volcano Island
"February 20, 2023",,1,0.76,65.1,4758,1200,Long-term deflation of the Taal Caldera and Taal Volcano Island
"February 21, 2023",,1,0.76,65.1,3964,1800,Long-term deflation of the Taal Caldera and Taal Volcano Island
"February 22, 2023",,1,0.76,65.1,3964,900,Long-term deflation of the Taal Caldera and Taal Volcano Island
"February 23, 2023",,2,0.48,74.9,3964,800,Long-term deflation of the Taal Caldera and Taal Volcano Island
"February 24, 2023",,3,0.48,74.9,2305,2400,Long-term deflation of the Taal Caldera and Taal Volcano Island
"February 25, 2023",,2,0.48,74.9,5582,1200,Long-term deflation of the Taal Caldera and Taal Volcano Island
"February 26, 2023",,2,0.48,74.9,5582,1200,Long-term deflation of the Taal Caldera and Taal Volcano Island
"February 27, 2023",,1,0.48,74.9,5582,600,Long-term deflation of the Taal Caldera and Taal Volcano Island
"February 28, 2023",,2,0.48,74.9,4293,300,Long-term deflation of the Taal Caldera and Taal Volcano Island
"March 1, 2023",,30,0.48,74.9,4293,100,Long-term deflation of the Taal Caldera and Taal Volcano Island
"March 2, 2023",,6,0.48,74.9,4293,600,Long-term deflation of the Taal Caldera and Taal Volcano Island
"March 3, 2023",,6,0.48,74.9,4243,600,Long-term deflation of the Taal Caldera and Taal Volcano Island
"March 4, 2023",,3,0.48,74.9,4243,600,Long-term deflation of the Taal Caldera and Taal Volcano Island
"March 5, 2023",,1,0.48,74.9,4243,600,Long-term deflation of the Taal Caldera and Taal Volcano Island
"March 6, 2023",,1,0.48,74.9,4243,,Long-term deflation of the Taal Caldera and Taal Volcano Island
"March 7, 2023",,3,0.48,74.9,5176,400,Long-term deflation of the Taal Caldera and Taal Volcano Island
"March 8, 2023",,7,0.48,74.9,5176,600,Long-term deflation of the Taal Caldera and Taal Volcano Island
"March 9, 2023",,1,0.48,74.9,5176,900,Long-term deflation of the Taal Caldera and Taal Volcano Island
"March 10, 2023",,6,0.48,74.9,5176,900,Long-term deflation of the Taal Caldera and Taal Volcano Island
"March 11, 2023",,3,0.48,74.9,5176,900,Long-term deflation of the Taal Caldera and Taal Volcano Island
"March 12, 2023",,18,0.48,74.9,5176,600,Long-term deflation of the Taal Caldera and Taal Volcano Island
"March 13, 2023",,22,0.48,74.9,5176,600,Long-term deflation of the Taal Caldera and Taal Volcano Island
"March 14, 2023",,11,0.48,74.9,5176,900,Long-term deflation of the Taal Caldera and Taal Volcano Island
"March 15, 2023",,8,0.48,74.9,5176,1200,Long-term deflation of the Taal Caldera and Taal Volcano Island
"March 16, 2023",,1,0.48,74.9,5176,900,Long-term deflation of the Taal Caldera and Taal Volcano Island
"March 17, 2023",,19,0.48,74.9,3037,600,Long-term deflation of the Taal Caldera and Taal Volcano Island
"March 18, 2023",,65,0.48,74.9,3037,1100,Long-term deflation of the Taal Caldera and Taal Volcano Island
"March 19, 2023",,1,0.48,74.9,3037,600,Long-term deflation of the Taal Caldera and Taal Volcano Island
"March 20, 2023",,3,0.48,74.9,3037,900,Long-term deflation of the Taal Caldera and Taal Volcano Island
"March 21, 2023",,0,0.48,74.9,2225,250,Long-term deflation of the Taal Caldera and Taal Volcano Island
"March 22, 2023",,3,0.48,74.9,2225,1200,Long-term deflation of the Taal Caldera and Taal Volcano Island
"March 23, 2023",,0,0.48,74.9,2225,900,Long-term deflation of the Taal Caldera and Taal Volcano Island
"March 24, 2023",,0,0.48,74.9,4062,900,Long-term deflation of the Taal Caldera and Taal Volcano Island
"March 25, 2023",,1,0.48,74.9,4062,700,Long-term deflation of the Taal Caldera and Taal Volcano Island
"March 26, 2023",,1,0.48,74.9,4062,600,Long-term deflation of the Taal Caldera and Taal Volcano Island
"March 27, 2023",,1,0.48,74.9,4062,700,Long-term deflation of the Taal Caldera and Taal Volcano Island
"March 28, 2023",,1,0.48,74.9,2999,600,Long-term deflation of the Taal Caldera and Taal Volcano Island
"March 29, 2023",,0,0.48,74.9,2999,400,Long-term deflation of the Taal Caldera and Taal Volcano Island
"March 30, 2023",,0,0.48,74.9,2999,200,Long-term deflation of the Taal Caldera and Taal Volcano Island
"March 31, 2023",,1,0.48,74.9,2180,600,Long-term deflation of the Taal Caldera and Taal Volcano Island
"April 1, 2023",,1,0.48,74.9,2180,900,Long-term deflation of the Taal Caldera and Taal Volcano Island
"April 2, 2023",,2,0.48,74.9,2652,900,Long-term deflation of the Taal Caldera and Taal Volcano Island
"April 3, 2023",,1,0.48,74.9,2652,900,Long-term deflation of the Taal Caldera and Taal Volcano Island
"April 4, 2023",,1,0.48,74.9,3097,900,Long-term deflation of the Taal Caldera and Taal Volcano Island
"April 5, 2023",,0,0.48,74.9,3097,600,Long-term deflation of the Taal Caldera and Taal Volcano Island
"April 6, 2023",,0,0.48,74.9,3097,600,Long-term deflation of the Taal Caldera and Taal Volcano Island
"April 7, 2023",,2,0.48,74.9,1675,200,Long-term deflation of the Taal Caldera and Taal Volcano Island
"April 8, 2023",,0,0.48,74.9,1675,1000,Long-term deflation of the Taal Caldera and Taal Volcano Island
"April 9, 2023",,2,0.48,74.9,1675,900,Long-term deflation of the Taal Caldera and Taal Volcano Island
"April 10, 2023",,0,0.48,74.9,1675,100,Long-term deflation of the Taal Caldera and Taal Volcano Island
"April 11, 2023",,5,0.48,74.9,1706,900,Long-term deflation of the Taal Caldera and Taal Volcano Island
"April 12, 2023",,0,0.48,74.9,1706,900,Long-term deflation of the Taal Caldera and Taal Volcano Island
"April 13, 2023",,1,0.48,74.9,1706,600,Long-term deflation of the Taal Caldera and Taal Volcano Island
"April 14, 2023",,0,0.48,74.9,1706,600,Long-term deflation of the Taal Caldera and Taal Volcano Island
"April 15, 2023",,0,0.48,74.9,1706,600,Long-term deflation of the Taal Caldera and Taal Volcano Island
"April 16, 2023",,0,0.48,74.9,1706,2400,Long-term deflation of the Taal Caldera and Taal Volcano Island
"April 17, 2023",,0,0.48,74.1,1706,2400,Long-term deflation of the Taal Caldera and Taal Volcano Island
"April 18, 2023",,1,0.48,74.1,3327,2400,Long-term deflation of the Taal Caldera and Taal Volcano Island
"April 19, 2023",,2,0.48,74.1,3327,600,Long-term deflation of the Taal Caldera and Taal Volcano Island
"April 20, 2023",,2,0.48,74.1,3327,1200,Short-term inflation of the northwestern sector of Taal; long-term deflation of the Taal Caldera
"April 21, 2023",,0,0.48,74.1,4080,3000,Short-term inflation of the northwestern sector of Taal; long-term deflation of the Taal Caldera
"April 22, 2023",,4,0.48,74.1,4080,2400,Short-term inflation of the northwestern sector of Taal; long-term deflation of the Taal Caldera
"April 23, 2023",,1,0.48,74.1,4080,1200,Short-term inflation of the northwestern sector of Taal; long-term deflation of the Taal Caldera
"April 24, 2023",,0,0.48,74.1,4080,2400,Short-term inflation of the northwestern sector of Taal; long-term deflation of the Taal Caldera
"April 25, 2023",,1,0.48,74.1,3351,900,Short-term inflation of the northwestern sector of Taal; long-term deflation of the Taal Caldera
"April 26, 2023",,0,0.48,74.1,3351,900,Short-term inflation of the northwestern sector of Taal; long-term deflation of the Taal Caldera
"April 27, 2023",,1,0.48,74.1,3351,900,Short-term inflation of the northwestern sector of Taal; long-term deflation of the Taal Caldera
"April 28, 2023",,0,0.48,74.1,3645,900,Short-term inflation of the northwestern sector of Taal; long-term deflation of the Taal Caldera
"April 29, 2023",,1,0.48,74.1,3645,600,Short-term inflation of the northwestern sector of Taal; long-term deflation of the Taal Caldera
"April 30, 2023",,0,0.48,74.1,3645,600,Short-term inflation of the northwestern sector of Taal; long-term deflation of the Taal Caldera
"May 1, 2023",,1,0.48,74.1,3645,1200,Short-term inflation of the northwestern sector of Taal; long-term deflation of the Taal Caldera
"May 2, 2023",,0,0.48,74.1,2881,900,Short-term inflation of the northwestern sector of Taal; long-term deflation of the Taal Caldera
"May 3, 2023",,3,0.48,74.1,2881,600,Short-term inflation of the northwestern sector of Taal; long-term deflation of the Taal Caldera
"May 4, 2023",,1,0.48,74.1,2881,800,Short-term inflation of the northwestern sector of Taal; long-term deflation of the Taal Caldera
"May 5, 2023",,2,0.48,74.1,2724,1200,Short-term inflation of the northwestern sector of Taal; long-term deflation of the Taal Caldera
"May 6, 2023",,0,0.48,74.1,2724,200,Short-term inflation of the northwestern sector of Taal; long-term deflation of the Taal Caldera
"May 7, 2023",,6,0.48,74.1,2724,600,Short-term inflation of the northwestern sector of Taal; long-term deflation of the Taal Caldera
"May 8, 2023",,11,0.48,74.1,2724,50,Short-term inflation of the northwestern sector of Taal; long-term deflation of the Taal Caldera
"May 9, 2023",,5,0.48,74.1,3679,1200,Short-term inflation of the northwestern sector of Taal; long-term deflation of the Taal Caldera
"May 10, 2023",,4,0.48,74.1,3679,600,Short-term inflation of the northwestern sector of Taal; long-term deflation of the Taal Caldera
"May 11, 2023",,12,0.48,74.1,3679,1200,Short-term inflation of the northwestern sector of Taal; long-term deflation of the Taal Caldera
"May 12, 2023",,5,0.48,74.1,1766,900,Short-term inflation of the northwestern sector of Taal; long-term deflation of the Taal Caldera
"May 13, 2023",,3,0.48,74.1,1766,900,Short-term inflation of the northwestern sector of Taal; long-term deflation of the Taal Caldera
"May 14, 2023",,5,0.48,74.1,1766,1200,Short-term inflation of the northwestern sector of Taal; long-term deflation of the Taal Caldera
"May 15, 2023",,2,0.48,74.1,1766,1500,Short-term inflation of the northwestern sector of Taal; long-term deflation of the Taal Caldera
"May 16, 2023",,1,0.48,74.1,1766,900,Short-term inflation of the northwestern sector of Taal; long-term deflation of the Taal Caldera
"May 17, 2023",,2,0.48,74.1,1766,300,Short-term inflation of the northwestern sector of Taal; long-term deflation of the Taal Caldera
"May 18, 2023",,4,0.48,74.1,1766,1800,Short-term inflation of the northwestern sector of Taal; long-term deflation of the Taal Caldera
"May 19, 2023",,1,0.48,74.1,706,3000,Short-term inflation of the northwestern sector of Taal; long-term deflation of the Taal Caldera
